id,first_biz_year
YFvZSPBdjf4uU9BWY7fIVw,
vQIOFfXTndqeXTixAbJixQ,
JCAN-9h2kbDYqnt27AzyFQ,
uQrjlhE4XKuRV_Fy_xv3YQ,
sx1XW8xYkAvx-vLEb77j6g,2020.0
ZKPNuYxqLNtQ-6Ukew-hdQ,
w0kZUYwEhJZfTAfDkLlzJg,
gMwyp7GHZjDvPFFMITLP9g,
I-rAJdTgXS6-U-0K1iZeUQ,
2mvzi1u-gtwz0QGYN1hY4Q,
QO2gJNW4C2z2EJcW1t_OCg,
w_5-eZPjnLuaF6EicFpihw,
0r1zTuZEEet6Q2SgEkJBug,
msRqEbhu0BKtpEbGf4BMYg,
TSwe3X4vG4VBEto-9tai5Q,
kHhEHmunSB7cYSZeFQo3Cg,
XdBEgFrcnpWl_fvn6Myr4w,2005.0
6S_AGvxCWfnPc3IAhE0cyw,2016.0
AfTnp-dfdrfFKlKAV7TEeg,2012.0
_29zENbET2hHStARZXjuPw,
PrmP4BcjzTL6PHCx8Mp6gw,
U32L76cQU5ALKveCK9yi6w,2012.0
eEEzYf2DU-OSmtrdXJoxOQ,2005.0
J6gCLztYZ9eW2Q16Yqdvgg,2012.0
mt399YvS9tpeUfJbtHZa3w,
wzHhnR12LZtQwiJ09h1Q9g,
SKxT_n9Ms2DUc3IWMy8KlQ,
u5gYh0uiliDMtoYmrHjl8g,
ucwOem5C_JcD7JrikTlhjg,
tQPDnYmd5E902AuT1Mwrxw,
Bb8-oxlLt88UlrzK6wQlaQ,
OYoA4EZRRYWkt5ZxruH9dg,
5-PTBu1gAaZWB6fm2GuD0g,
Li6CtwWPTXLlE6c2SgdGkg,
SV4gDjI8DWU5eiAKcmV6tw,2002.0
dV6X2M5H_Y3Tk2L-OKToIQ,
q1HZPV5PcAJXFtmCDFEb5A,
U8UiAHAeQNdlxjRNoxagWA,
KNRNP2USa3wik3Anjlo0gg,
3KzaIg4IidGPwJkSr5NQTA,
zzxHJvjPCxqq7A5aQJAYEw,
rjng9AXY5nj219cq0mCW7w,
0bjYxvjqJLgwjpio_CWYUQ,2017.0
uI10m5PrrohC9XJug_uy2w,
0o0C5BCQWSPdu38vkj7OkA,
onG6a5MFny2-J0HnzHlDwA,
wqsR4bDDV_frkHbQs2hXfA,
tBSMjAjycSiePXIn7NAR5Q,
1FVVSdGFpbqND1C38CKlFA,
O0zwaHiBc_3JoJRDkqMHNQ,2016.0
TlnNVgPMdmv6fyV1Kh5TGw,
6C1YKqLnsXajnhYOKsnYoQ,
PKEFzsT02Uhm-vgJO3HfEw,
1PXsk1GNSsHOZpf6Kjo_Tw,2013.0
BlpKooPnKqKV6uuw-Q79yQ,
xo79B7SHpD7vrv2nwWhD8g,2003.0
r-xqdtxCVDrR7MBH43jkNw,
KAcsFyJNH2N7m4yl9i6EYA,
claJBPHhTbu7rmy79_zpsA,
z2T1R9cLqkiGSRjJd9FP6g,
3oqOtvDs6OmS3FN48CIUgA,
sBpkPsURiiHuZ7cxQuo2CA,
QX6Cmu-P5cYhgxCyW__Ruw,
YpqL_tzI_-uGBoN-C470JQ,
X8Pbm_LAJbi4rJlYCdvRVQ,
KosdD_81--q4Eb1ryLCXwg,
ygiIij2FiQAbUGECNOB7ww,
KyYOxUHLbR8Gt_kdFq8VYg,
n4-S8Cc1G7avihJUR5B2WQ,
l8eK0RrkwR8jCcy6OlptwQ,
YASJAGiFZJ47XAvhfqjgrA,
PbY2KtilNODHtzegTiPJyw,
0HvbPQ2_U1hXwMLo3kuKjg,
_lA-ErA_-qYh9jijPwB5jA,
5rB6xZ-l4rJR4pQEqjcndQ,
81ErMxK-Io7A3IfMH0jicw,
-RXc7XYbiAFfUXWGJSnirA,
LMc5bzn5sbTSxbRsXo70qg,
VsQwPX8pFJ-l21T23hIFMg,
XgBAc6CdxIyeLvTTYVds-w,
C8B_DvCCVn3geIuzDhr6mA,
KY0ZuiTL6efChRD7EzOQIQ,
gR_gDuapYZyeOjDWX5H5KQ,
HHNAuRWdMQPPlvcsUn2eLA,
EEqZ_y5pUSOdp106rhnWrA,
7jIqKC_PpEVPL-lJ1p2v_Q,
QIqLgzyYeu2c4jkaRfS4jg,2005.0
N49gNMmoG89mHRaPCmQH8Q,
BxLWVUotIbpV2TjjCZODSw,
S4jHivvnGMkGt12Uax3pqg,
L-U1CMQaOH32UUcoQQ1irw,
XOL-h9wnoethprvLaGPRew,
yxhbpwrmEqpLM7Vuwt1x6Q,
WkPR72qRE-L28V5G8qImBw,
XwrRUuG3LWdL1gI5qV9KJg,
OQiXqvJNZr1j7gaS3zWqvA,
wGX_icCJ5YcJ5BhNHSqBvg,
wS3Dq9dH1ajkor1a0WW0xw,
m6pTFnmnZfDuV2u9fxR30w,
YZT3ZgH9MkPVNjyubnqrWQ,
YezYzE2h-s5IhMDXNF3L2Q,
yKANreSAYDVqFNRIDf_SOw,
X8b0m4kYc4XKL71pNHekWg,
sflHV2IB6GwjQYjcZP4kNA,
L5ZNret3G2WDcFfXQNKNUA,
AWyxrEf34yKrLz5TfUMmLw,
SLHaicVQDNA7J4188_ulEA,
QaRe9jql-gfftvuynlCURA,
x-Jl0gcv-1DSFlOLvJbUGw,
pOO5lpUnh4opzLiQy6Stbw,
jXPwLfeh0u1RHLM2dGbCiA,
qZfvROZKjpiyHo9b_ZwUuA,
HiALQWaeAHb7YndAyisaEw,
ogwFwG0IFtEtqfKWa_BPsA,2017.0
LfOiYxWe9zL2HB0N7hY_vg,
ZS3URlhHn2oSErPYkFfC5g,
Z9EnVH5Y5_m8NLRJ55wjxQ,
Qt6syJvPi5b_5D9HVd4M_g,
xnTMW0VOyyI9ulc0zKldLg,
ocFK5QJ-v04MDqNEYBNcaQ,2005.0
0bfYHuSeC6z-NTyw_CAAog,2004.0
IPVtJAddqpdUMVuthQcwsw,
zaaws11rviM7_W6ivFWolg,2004.0
FQh6hkad3TCkW23hhTRWXg,
J_1G0ImJEDDqoRfvFq4IuA,
XtTxxLUWX4qJv-bL2IvVZw,
7kSEJUVtojuYwtj2HHkVZg,2005.0
Ujb5uKHluFfxSSbCgF1GDQ,
wfwZwztjPq31dNhpIam7xg,2005.0
CTARmxYLi9JzRKkVb5qgtA,
Qho0KlvFF1GGG_9d5_gLlA,
2X_XMNX40qbIriE1KoftcQ,
dlIyEp7YrgQDe61ZLCtfVw,
_aP3X7uI9cFU_fJ12wovkw,
s0Rtz3E2ptHQjSwcDO30xQ,
kEO0P9hGj5plK9JNecqJKw,
v6-C7iYjv51mqtXAgxjCXw,
HMcmX8DMgQs9pnak5U0Y-A,
SE4Juscv4rS1xEk1jysb_g,
4qDx4OH5hXBCO4pP2RN3nQ,
AphNEIK_AUE6MioTgJVThg,
RjgKwuBWYeumnx5qm5lUqw,
Qc7mgmpTIERn2twEGBl24Q,
e7XMkv4Z5mfJh9TmqUfziA,
y0JIMu87lLswqQePQ1jWBQ,
JDrrcmvx644yZ_nOIBIUCg,
5KWqfMdNNxHM1XJlELAHzg,
aMbkXq6KhKiNwFzHau6RRg,
KVliI2nXUmpEAiCxKwfntg,
SCfkn72AH-erfZq1WaIKXQ,
LFddrm8xgG3-vkVHuveWog,2021.0
etAIbsTWaeLVl0BmaeK2TA,
l5m3WJZ25Au2yzrkfQnhxg,
66smPrCESsxDTRCTRx9rGg,2016.0
